Month,Value,Category
Nov-19,54,Google Trends
Dec-19,62,Google Trends
Jan-20,59,Google Trends
Feb-20,55,Google Trends
Mar-20,65,Google Trends
Apr-20,67,Google Trends
May-20,59,Google Trends
Jun-20,58,Google Trends
Jul-20,54,Google Trends
Aug-20,51,Google Trends
Sep-20,50,Google Trends
Oct-20,75,Google Trends
Nov-20,96,Google Trends
Dec-20,100,Google Trends
Jan-21,86,Google Trends
Feb-21,77,Google Trends
Mar-21,72,Google Trends
Apr-21,67,Google Trends
Nov-19,1630,Twitch Viewers
Dec-19,1952,Twitch Viewers
Jan-20,3298,Twitch Viewers
Feb-20,1479,Twitch Viewers
Mar-20,3573,Twitch Viewers
Apr-20,5201,Twitch Viewers
May-20,10832,Twitch Viewers
Jun-20,17590,Twitch Viewers
Jul-20,9071,Twitch Viewers
Aug-20,9988,Twitch Viewers
Sep-20,6590,Twitch Viewers
Oct-20,5781,Twitch Viewers
Nov-20,11142,Twitch Viewers
Dec-20,16234,Twitch Viewers
Jan-21,24643,Twitch Viewers
Feb-21,32733,Twitch Viewers
Mar-21,22582,Twitch Viewers
Apr-21,23976,Twitch Viewers
Nov-19,20,Twitch Channels
Dec-19,21,Twitch Channels
Jan-20,24,Twitch Channels
Feb-20,25,Twitch Channels
Mar-20,33,Twitch Channels
Apr-20,49,Twitch Channels
May-20,61,Twitch Channels
Jun-20,91,Twitch Channels
Jul-20,74,Twitch Channels
Aug-20,62,Twitch Channels
Sep-20,55,Twitch Channels
Oct-20,55,Twitch Channels
Nov-20,75,Twitch Channels
Dec-20,103,Twitch Channels
Jan-21,139,Twitch Channels
Feb-21,156,Twitch Channels
Mar-21,149,Twitch Channels
Apr-21,138,Twitch Channels
Nov-19,40357832,Lichess.org Games
Dec-19,44055757,Lichess.org Games
Jan-20,46800709,Lichess.org Games
Feb-20,44004185,Lichess.org Games
Mar-20,55544817,Lichess.org Games
Apr-20,73224608,Lichess.org Games
May-20,75628855,Lichess.org Games
Jun-20,70374749,Lichess.org Games
Jul-20,70592022,Lichess.org Games
Aug-20,71405167,Lichess.org Games
Sep-20,68027862,Lichess.org Games
Oct-20,70572373,Lichess.org Games
Nov-20,78268317,Lichess.org Games
Dec-20,89422803,Lichess.org Games
Jan-21,95853038,Lichess.org Games
Feb-21,89892001,Lichess.org Games
Mar-21,100023791,Lichess.org Games
Apr-21,100275394.1,Lichess.org Games
