Title,Viewership
The Queen's Gambit,62000000
The Witcher,76000000
6 Underground,83000000
You (Season 2),54000000
The Crown (Season 3),21000000
A Fall From Grace,26000000
Airplane Mode,28000000
Ozark (Season 3),29000000
Spenser Confidential,85000000
Love is Blind,30000000
Money Heist (Season 4),65000000
Tiger King,64000000
Extraction,99000000
The Decline,21000000
The Last Dance,37600000
The Willoughbys,38000000
American Son,17000000
Raising Dion,32000000
Floor is Lava,37000000
Too Hot to Handle,51000000
Space Force,40000000
Never Have I Ever,40000000
The Wrong Missy,59000000
Da 5 Bloods,27000000
Ratched,48000000
